residue,count_in_topK,percent_of_topK,topk_atoms_total,K_per_sample
ALA,20,2.5974025974025974,770,5
ARG,47,6.103896103896104,770,5
ASN,20,2.5974025974025974,770,5
ASP,9,1.1688311688311688,770,5
CYS,30,3.896103896103896,770,5
GLN,19,2.4675324675324677,770,5
GLU,44,5.714285714285714,770,5
GLY,11,1.4285714285714286,770,5
HIS,1,0.12987012987012986,770,5
ILE,95,12.337662337662337,770,5
LEU,153,19.870129870129873,770,5
LYS,18,2.3376623376623376,770,5
MET,39,5.0649350649350655,770,5
PHE,78,10.129870129870131,770,5
PRO,29,3.766233766233766,770,5
SER,17,2.207792207792208,770,5
THR,38,4.935064935064935,770,5
TRP,17,2.207792207792208,770,5
TYR,45,5.844155844155844,770,5
VAL,40,5.194805194805195,770,5
