filename,average_score,score_std,number_atoms,min_max_label,percentile_label,threshold_label
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_2974-filtered_graphs.npy,0.0267643280758056,0.0704945028761481,41,PseudoNegative,StrongNegative,Negative
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_2975-filtered_graphs.npy,0.8101230671042657,0.3643537740921078,1,PseudoPositive,PseudoNegative,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_2984-filtered_graphs.npy,0.047016481976334,0.1025755468832,27,PseudoNegative,StrongNegative,Negative
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_2985-filtered_graphs.npy,0.9265512955188752,0.1431417919116392,11,PseudoPositive,StrongPositive,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_2991-filtered_graphs.npy,0.9462798416614532,0.1160987765313827,19,PseudoPositive,StrongPositive,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3001-filtered_graphs.npy,0.8181591148301959,0.3183264118184383,7,PseudoPositive,PseudoPositive,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3012-filtered_graphs.npy,0.3807425054907798,0.2715375419347015,29,PseudoNegative,StrongNegative,Negative
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3059-filtered_graphs.npy,0.7944842052459716,0.1812087945640162,60,PseudoPositive,PseudoNegative,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3089-filtered_graphs.npy,0.7385755768418312,0.2141234010779807,74,PseudoNegative,PseudoNegative,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3092-filtered_graphs.npy,0.3029913358097804,0.4418760951336733,1,PseudoNegative,StrongNegative,Negative
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3103-filtered_graphs.npy,0.7173868274572306,0.3019345331452828,13,PseudoNegative,PseudoNegative,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3104-filtered_graphs.npy,0.085104210139692,0.2115862390974032,20,PseudoNegative,StrongNegative,Negative
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3109-filtered_graphs.npy,0.8228092189231575,0.3339323868304681,6,PseudoPositive,PseudoPositive,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3127-filtered_graphs.npy,0.0759319130924996,0.1086011704884599,76,PseudoNegative,StrongNegative,Negative
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3131-filtered_graphs.npy,0.3188656098209321,0.2661800332378373,108,PseudoNegative,StrongNegative,Negative
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3162-filtered_graphs.npy,0.5312715485130878,0.4532720466793892,2,PseudoNegative,StrongNegative,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3166-filtered_graphs.npy,0.9208809676766396,0.1639158626927903,45,PseudoPositive,StrongPositive,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3172-filtered_graphs.npy,0.9752573347091676,0.0324130532451944,19,PseudoPositive,StrongPositive,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3175-filtered_graphs.npy,0.8278711771965027,0.1832035454982493,38,PseudoPositive,PseudoPositive,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3205-filtered_graphs.npy,0.6774891510605812,0.3043493103535533,22,PseudoNegative,PseudoNegative,Positive
3_42-piezo-separate-graphs-5A/unlabeled/CHL1_3209-filtered_graphs.npy,0.8441821843385696,0.1584663672716176,22,PseudoPositive,PseudoPositive,Positive
