filename,average_score,score_std,number_atoms,min_max_label,percentile_label,threshold_label,percentile_label_10_90,percentile_label_20_80,percentile_label_30_70,percentile_label_40_60,cut_P10,cut_P20,cut_P30,cut_P40,cut_P50,cut_P60,cut_P70,cut_P80,cut_P90
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/1LRI-filtered_combined_matrix.npy,0.2142868941277265,0.1318646432406354,71,PseudoNegative,StrongNegative,Negative,StrongNegative,StrongNegative,StrongNegative,StrongNegative,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/3N9Y-filtered_combined_matrix.npy,0.2635713406652212,0.1906799037655849,71,PseudoNegative,StrongNegative,Negative,StrongNegative,StrongNegative,StrongNegative,StrongNegative,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/3NY8-filtered_combined_matrix.npy,0.987432186603546,0.0115116020652607,53,StrongPositive,StrongPositive,Positive,StrongPositive,StrongPositive,StrongPositive,StrongPositive,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/3NY9-filtered_combined_matrix.npy,0.9878647541999817,0.0091687386062589,52,StrongPositive,StrongPositive,Positive,StrongPositive,StrongPositive,StrongPositive,StrongPositive,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/4M48-filtered_combined_matrix.npy,0.9209329545497894,0.0700793346064444,40,PseudoPositive,StrongPositive,Positive,StrongPositive,StrongPositive,StrongPositive,StrongPositive,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/4PXZ-filtered_combined_matrix.npy,0.844089784026146,0.1155789843811815,65,PseudoPositive,StrongPositive,Positive,PseudoPositive,StrongPositive,StrongPositive,StrongPositive,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/4XP1-filtered_combined_matrix.npy,0.9262110376358031,0.06287470871186,39,PseudoPositive,StrongPositive,Positive,StrongPositive,StrongPositive,StrongPositive,StrongPositive,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/4XPH-filtered_combined_matrix.npy,0.9473899388313294,0.0491071059910576,43,PseudoPositive,StrongPositive,Positive,StrongPositive,StrongPositive,StrongPositive,StrongPositive,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/4XPT-filtered_combined_matrix.npy,0.9577970600128174,0.0306473932288605,35,StrongPositive,StrongPositive,Positive,StrongPositive,StrongPositive,StrongPositive,StrongPositive,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp4/Test/Positive/5AVS-filtered_combined_matrix.npy,0.9632974171638488,0.0338607635719086,44,StrongPositive,StrongPositive,Positive,StrongPositive,StrongPositive,StrongPositive,StrongPositive,0.42335801272839313,0.6252652588486671,0.7043404352664947,0.7436990324854851,0.7623107182979584,0.7909355393648148,0.8102338351607322,0.8395110921859741,0.8688801049590111
