canonical_id,cnn_exp1,cnn_exp2,cnn_exp3,cnn_exp4,cnn_exp5,gat_exp1,gat_exp2,gat_exp3,gat_exp4,gat_exp5,gcn_exp1,gcn_exp2,gcn_exp3,gcn_exp4,gcn_exp5,gnn_exp1,gnn_exp2,gnn_exp3,gnn_exp4,gnn_exp5
box1028,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box1038,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
box1040,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
box1307,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False
box1308,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box1314,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box1337,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True
box1374,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
box1388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box1400,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True
box1401,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True
box1402,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
box1416,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
box1653,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box1668,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box1674,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
box1682,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
box1701,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
box1714,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False
box1716,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
box1728,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box1730,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True
box1731,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False
box1761,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
box1762,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True
box2004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box2013,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
box2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box2016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box2033,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
box2042,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box2057,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
box2061,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True
box2062,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
box2090,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box2105,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
box2119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box2120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box2330,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True
box2346,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
box2361,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
box2372,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True
box2376,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,True,True
