source,canonical_id,original_id,percentile_label,average_score,score_std,number_atoms
gnn_exp4,box1023,sdf_2-piezo-graph-5A/unlabeled/box1023-filtered_combined_matrix.npy,StrongPositive,0.8623980009555816,0.0952644827238337,42
gnn_exp1,box1028,sdf_2-piezo-graph-5A/unlabeled/box1028-filtered_combined_matrix.npy,StrongPositive,0.9191023969650268,0.0732288230196249,51
gnn_exp2,box1028,sdf_2-piezo-graph-5A/unlabeled/box1028-filtered_combined_matrix.npy,StrongPositive,0.8815579628944397,0.0875609288763947,51
gnn_exp3,box1028,sdf_2-piezo-graph-5A/unlabeled/box1028-filtered_combined_matrix.npy,StrongPositive,0.970130307674408,0.0268567695830781,51
gnn_exp4,box1028,sdf_2-piezo-graph-5A/unlabeled/box1028-filtered_combined_matrix.npy,StrongPositive,0.9715921807289124,0.0402982291519833,51
gnn_exp5,box1028,sdf_2-piezo-graph-5A/unlabeled/box1028-filtered_combined_matrix.npy,StrongPositive,0.973069978952408,0.0256617406692002,51
gnn_exp3,box1038,sdf_2-piezo-graph-5A/unlabeled/box1038-filtered_combined_matrix.npy,StrongPositive,0.8570970231294632,0.1128364010282182,39
gnn_exp4,box1038,sdf_2-piezo-graph-5A/unlabeled/box1038-filtered_combined_matrix.npy,StrongPositive,0.8681659179925919,0.1173253928010316,39
gnn_exp1,box1039,sdf_2-piezo-graph-5A/unlabeled/box1039-filtered_combined_matrix.npy,StrongPositive,0.8883897304534912,0.0816913714287269,50
gnn_exp1,box1040,sdf_2-piezo-graph-5A/unlabeled/box1040-filtered_combined_matrix.npy,StrongPositive,0.889860344529152,0.1147135140708187,57
gnn_exp1,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,StrongPositive,0.8383090543746948,0.1116988140668927,52
gnn_exp2,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,StrongPositive,0.8956144869327545,0.0799085850199083,52
gnn_exp3,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,StrongPositive,0.8597816431522369,0.0925237047298973,52
gnn_exp4,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,StrongPositive,0.9641635191440582,0.0287749793913439,52
gnn_exp5,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,StrongPositive,0.9271398079395294,0.0754837632539509,52
gnn_exp1,box1337,sdf_2-piezo-graph-5A/unlabeled/box1337-filtered_combined_matrix.npy,StrongPositive,0.9018922543525696,0.0739263346228982,40
gnn_exp3,box1337,sdf_2-piezo-graph-5A/unlabeled/box1337-filtered_combined_matrix.npy,StrongPositive,0.846099681854248,0.1195189164931748,40
gnn_exp4,box1337,sdf_2-piezo-graph-5A/unlabeled/box1337-filtered_combined_matrix.npy,StrongPositive,0.9086019003391266,0.0693098452328706,40
gnn_exp5,box1337,sdf_2-piezo-graph-5A/unlabeled/box1337-filtered_combined_matrix.npy,StrongPositive,0.8875489413738251,0.0826044304111465,40
gnn_exp1,box1352,sdf_2-piezo-graph-5A/unlabeled/box1352-filtered_combined_matrix.npy,StrongPositive,0.8514703541994095,0.1188655945453622,48
gnn_exp3,box1388,sdf_2-piezo-graph-5A/unlabeled/box1388-filtered_combined_matrix.npy,StrongPositive,0.9480642771720886,0.0385768881462669,52
gnn_exp4,box1388,sdf_2-piezo-graph-5A/unlabeled/box1388-filtered_combined_matrix.npy,StrongPositive,0.9487127435207366,0.0378413692010457,52
gnn_exp1,box1399,sdf_2-piezo-graph-5A/unlabeled/box1399-filtered_combined_matrix.npy,StrongPositive,0.8768607211112976,0.0900790503923981,51
gnn_exp1,box1400,sdf_2-piezo-graph-5A/unlabeled/box1400-filtered_combined_matrix.npy,StrongPositive,0.8781058037281037,0.0823236144014202,47
gnn_exp4,box1400,sdf_2-piezo-graph-5A/unlabeled/box1400-filtered_combined_matrix.npy,StrongPositive,0.8951729679107666,0.0823597460976836,47
gnn_exp5,box1400,sdf_2-piezo-graph-5A/unlabeled/box1400-filtered_combined_matrix.npy,StrongPositive,0.949112994670868,0.0397179412144639,47
gnn_exp1,box1401,sdf_2-piezo-graph-5A/unlabeled/box1401-filtered_combined_matrix.npy,StrongPositive,0.9588285124301912,0.0367983444656233,59
gnn_exp2,box1401,sdf_2-piezo-graph-5A/unlabeled/box1401-filtered_combined_matrix.npy,StrongPositive,0.8849479997158051,0.0988307495492335,59
gnn_exp3,box1401,sdf_2-piezo-graph-5A/unlabeled/box1401-filtered_combined_matrix.npy,StrongPositive,0.8901035177707672,0.0758643742890368,59
