canonical_id,CNN,GAT,GCN,GNN,pattern_label
box1040,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box1701,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box1731,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box2062,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box2105,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box2361,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box262,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box3636,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box3772,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box3787,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box3832,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4041,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4145,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4189,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4192,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4514,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4552,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4565,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4567,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4821,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box4853,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box5255,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box5603,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box5677,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box5812,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box5963,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box6275,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box6605,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box6620,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box6787,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box7162,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box7538,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box7821,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box8241,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box8539,False,True,True,True,GAT & GCN & GNN (missing: CNN)
box952,False,True,True,True,GAT & GCN & GNN (missing: CNN)
