canonical_id,CNN,GAT,GCN,GNN,pattern_label
box3116,True,True,False,True,CNN & GAT & GNN (missing: GCN)
box3133,True,True,False,True,CNN & GAT & GNN (missing: GCN)
box3847,True,True,False,True,CNN & GAT & GNN (missing: GCN)
box3848,True,True,False,True,CNN & GAT & GNN (missing: GCN)
box3867,True,True,False,True,CNN & GAT & GNN (missing: GCN)
box5266,True,True,False,True,CNN & GAT & GNN (missing: GCN)
box607,True,True,False,True,CNN & GAT & GNN (missing: GCN)
box6619,True,True,False,True,CNN & GAT & GNN (missing: GCN)
box7820,True,True,False,True,CNN & GAT & GNN (missing: GCN)
box8199,True,True,False,True,CNN & GAT & GNN (missing: GCN)
