filename,average_score,number_atoms
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/1N83-filtered_combined_matrix.npy,0.46510896027088167,75
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/3A3Y-filtered_combined_matrix.npy,0.8559565812349319,38
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/3WGV-filtered_combined_matrix.npy,0.873974723815918,52
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/4IB4-filtered_combined_matrix.npy,0.7934977513551712,42
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/4XNV-filtered_combined_matrix.npy,0.8674386709928512,39
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/4XT1-filtered_combined_matrix.npy,0.8467201581597328,48
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5AVR-filtered_combined_matrix.npy,0.9132218134403228,43
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5AVX-filtered_combined_matrix.npy,0.9209180474281311,44
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5AVZ-filtered_combined_matrix.npy,0.938538134098053,44
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5I74-filtered_combined_matrix.npy,0.8256329536437989,20
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5IUA-filtered_combined_matrix.npy,0.7897097855806351,45
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5IUB-filtered_combined_matrix.npy,0.767205621600151,46
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5K2B-filtered_combined_matrix.npy,0.810548324584961,39
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5K2C-filtered_combined_matrix.npy,0.7526956242322922,39
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5LWE-filtered_combined_matrix.npy,0.850842861533165,20
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5N2R-filtered_combined_matrix.npy,0.8306971615552903,47
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5OLG-filtered_combined_matrix.npy,0.7959754765033722,43
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5OLO-filtered_combined_matrix.npy,0.8670180714130402,47
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5OLZ-filtered_combined_matrix.npy,0.8451414567232132,44
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5OM4-filtered_combined_matrix.npy,0.7965082788467407,43
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5WVR-filtered_combined_matrix.npy,0.6683145280182362,81
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5X7D-filtered_combined_matrix.npy,0.6944889315962791,59
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/5ZM7-filtered_combined_matrix.npy,0.5552529606968164,72
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6IIV-filtered_combined_matrix.npy,0.7976402395963669,31
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6JMQ-filtered_combined_matrix.npy,0.8445235887169837,45
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6JZH-filtered_combined_matrix.npy,0.7842320680618287,51
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6LPK-filtered_combined_matrix.npy,0.8474217003583908,38
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6MSM-filtered_combined_matrix.npy,0.6624682986736298,21
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6NBF-filtered_combined_matrix.npy,0.8737174952030182,29
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6NF4-filtered_combined_matrix.npy,0.761357135027647,50
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6OBA-filtered_combined_matrix.npy,0.8473764610290527,53
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6PRZ-filtered_combined_matrix.npy,0.8743600130081177,53
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6PS3-filtered_combined_matrix.npy,0.8380665519833564,55
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6PS4-filtered_combined_matrix.npy,0.851889368891716,50
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6S0L-filtered_combined_matrix.npy,0.6944636020064354,36
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6S7P-filtered_combined_matrix.npy,0.8663874351978302,35
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6TPK-filtered_combined_matrix.npy,0.7861051681637764,45
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6UD4-filtered_combined_matrix.npy,0.801219417154789,58
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6WBF-filtered_combined_matrix.npy,0.886749513745308,30
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6WGT-filtered_combined_matrix.npy,0.9046007734537125,40
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/6ZDV-filtered_combined_matrix.npy,0.8267103350162506,42
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7DFW-filtered_combined_matrix.npy,0.7534095951914788,24
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7DW9-filtered_combined_matrix.npy,0.6805588203668594,37
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7E2Y-filtered_combined_matrix.npy,0.905460609793663,24
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7EKP-filtered_combined_matrix.npy,0.8584581178426742,35
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7EKT-filtered_combined_matrix.npy,0.7925772738456726,35
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7ET1-filtered_combined_matrix.npy,0.8289322811365127,41
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7F6I-filtered_combined_matrix.npy,0.7890729796886444,48
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7FEE-filtered_combined_matrix.npy,0.7874273616075516,33
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7FJD-filtered_combined_matrix.npy,0.6608029022812844,57
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7KY7-filtered_combined_matrix.npy,0.7509309485554695,55
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7M5X-filtered_combined_matrix.npy,0.7805032104253768,29
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7M5Y-filtered_combined_matrix.npy,0.858457595705986,24
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7M95-filtered_combined_matrix.npy,0.8446423864364624,39
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7N4U-filtered_combined_matrix.npy,0.8827086904644966,30
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7NA7-filtered_combined_matrix.npy,0.8353415587544442,41
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7NA8-filtered_combined_matrix.npy,0.8205739679932594,47
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7NEQ-filtered_combined_matrix.npy,0.8063439241051674,33
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7NF8-filtered_combined_matrix.npy,0.881496616601944,28
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7OCE-filtered_combined_matrix.npy,0.8133803480863571,42
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7PX4-filtered_combined_matrix.npy,0.8489891201257705,42
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7RHR-filtered_combined_matrix.npy,0.1846840937435627,71
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7TC0-filtered_combined_matrix.npy,0.7627505216002465,29
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7TJ8-filtered_combined_matrix.npy,0.8418307924270629,51
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7TJ9-filtered_combined_matrix.npy,0.7008957946300507,61
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7TY7-filtered_combined_matrix.npy,0.8269574922323227,40
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7UZ3-filtered_combined_matrix.npy,0.5146691399812698,39
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7V0K-filtered_combined_matrix.npy,0.5265135662257672,43
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7V19-filtered_combined_matrix.npy,0.879729549586773,56
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7VLA-filtered_combined_matrix.npy,0.7901814934611321,39
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7VV3-filtered_combined_matrix.npy,0.8879859906435013,39
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7WC9-filtered_combined_matrix.npy,0.9024032783508301,30
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7WGD-filtered_combined_matrix.npy,0.8005316293239594,42
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7WGT-filtered_combined_matrix.npy,0.8017357420921326,38
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7WU5-filtered_combined_matrix.npy,0.8333215790987015,23
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7WYU-filtered_combined_matrix.npy,0.8019773650169373,50
../../../Data/SplitData/Cholesterol/cholesterol-graph-5A_exp2/Spies/7X21-filtered_combined_matrix.npy,0.8229870426654816,31
