residue,count_in_topK,percent_of_topK,topk_atoms_total,K_per_sample
ALA,31,4.025974025974026,770,5
ARG,40,5.194805194805195,770,5
ASN,17,2.207792207792208,770,5
CYS,18,2.3376623376623376,770,5
GLN,21,2.727272727272727,770,5
GLU,36,4.675324675324675,770,5
GLY,5,0.6493506493506493,770,5
HIS,8,1.0389610389610389,770,5
ILE,82,10.649350649350648,770,5
LEU,146,18.961038961038962,770,5
LYS,28,3.6363636363636362,770,5
MET,41,5.324675324675324,770,5
PHE,69,8.96103896103896,770,5
PRO,31,4.025974025974026,770,5
SER,16,2.0779220779220777,770,5
THR,44,5.714285714285714,770,5
TRP,17,2.207792207792208,770,5
TYR,48,6.233766233766234,770,5
VAL,72,9.35064935064935,770,5
