residue,count_in_topK,percent_of_topK,topk_atoms_total,K_per_sample
ALA,21,2.727272727272727,770,5
ARG,31,4.025974025974026,770,5
ASN,37,4.805194805194805,770,5
ASP,6,0.7792207792207793,770,5
CYS,19,2.4675324675324677,770,5
GLN,14,1.8181818181818181,770,5
GLU,42,5.454545454545454,770,5
GLY,15,1.948051948051948,770,5
HIS,8,1.0389610389610389,770,5
ILE,118,15.324675324675324,770,5
LEU,148,19.22077922077922,770,5
LYS,18,2.3376623376623376,770,5
MET,35,4.545454545454546,770,5
PHE,60,7.792207792207792,770,5
PRO,23,2.987012987012987,770,5
SER,25,3.2467532467532463,770,5
THR,38,4.935064935064935,770,5
TRP,13,1.6883116883116882,770,5
TYR,54,7.012987012987012,770,5
VAL,45,5.844155844155844,770,5
