feature,mean,std
C,0.009487256,0.00073753105
N,0.001256244,0.0002539558
O,0.0010375582,6.594377e-05
S,8.706733e-06,3.663541e-06
H,0.0,0.0
SP,0.0,0.0
SP2,0.0064472323,0.0009101787
SP3,0.004875304,0.0007702375
#OfBonds,0.068527125,0.003885495
#HeteroAtoms,0.0046502864,0.00057269534
Aromatic,0.0033395947,0.0006998019
ChargePresent,1.2162991e-05,3.5522937e-06
ChargeSign,1.20968125e-05,4.2800875e-06
InRing,0.0037394953,0.0006121353
Acidic,6.5577435e-05,1.5621805e-05
Basic,0.0003522095,0.00018908328
Histidine,3.4507775e-05,1.8302228e-05
Cysteine,1.3106694e-05,5.832991e-06
PolarUncharged,0.0002298371,2.7511776e-05
Glycine,0.000442734,9.335503e-05
Proline,0.00051053485,7.639628e-05
AromaticResidue,0.0052727475,0.00095139915
Hydrophobic,0.0045595043,0.000980702
