feature,mean,std
C,0.12194781,0.023782019
N,0.017175676,0.0044475016
O,0.015825253,0.005010344
S,0.0008572092,0.0002794623
H,0.0,0.0
SP,0.0,0.0
SP2,0.070098,0.01537378
SP3,0.07917622,0.0129315425
#OfBonds,0.89510345,0.16655232
#HeteroAtoms,0.0693546,0.011763836
Aromatic,0.031981856,0.009234748
ChargePresent,0.00085182243,0.00056417147
ChargeSign,0.00082977384,0.0005071343
InRing,0.034736395,0.009915561
Acidic,0.00419154,0.002738612
Basic,0.0056763403,0.0026360021
Histidine,0.0016903607,0.0009943637
Cysteine,0.0030252605,0.0019692585
PolarUncharged,0.010604869,0.004248695
Glycine,0.0024323547,0.0013428329
Proline,0.001991182,0.0006538857
AromaticResidue,0.047177527,0.009691794
Hydrophobic,0.086696126,0.014537096
