sample_name,ensemble_prob_mean,num_models_used
1LRI-filtered_combined_matrix,0.20622107891842936,50
3N9Y-filtered_combined_matrix,0.14060353987786894,50
3NY8-filtered_combined_matrix,0.751076260380702,50
3NY9-filtered_combined_matrix,0.7213318930490239,50
4M48-filtered_combined_matrix,0.7631696072750377,50
4PXZ-filtered_combined_matrix,0.4211088682490929,50
4XP1-filtered_combined_matrix,0.7433958613712643,50
4XPH-filtered_combined_matrix,0.7060774973164913,50
4XPT-filtered_combined_matrix,0.7536620208952137,50
5AVS-filtered_combined_matrix,0.8015010142148961,50
5AVT-filtered_combined_matrix,0.8010542455152423,50
5AVW-filtered_combined_matrix,0.8344426436915092,50
5AW9-filtered_combined_matrix,0.7762305023808452,50
5C1M-filtered_combined_matrix,0.6465107850412801,50
5I73-filtered_combined_matrix,0.671567265694822,50
5IU4-filtered_combined_matrix,0.3632656667785238,50
5IU8-filtered_combined_matrix,0.47508334529170243,50
5IUA-filtered_combined_matrix,0.3687223857709119,50
5K2A-filtered_combined_matrix,0.5438117230791097,50
5K2D-filtered_combined_matrix,0.7295253273078962,50
5NM4-filtered_combined_matrix,0.06544806308898406,50
5OLO-filtered_combined_matrix,0.39406775019597795,50
5TVN-filtered_combined_matrix,0.8827601275481661,50
5X93-filtered_combined_matrix,0.8820870785906887,50
5ZM5-filtered_combined_matrix,0.08695732475845216,50
6A94-filtered_combined_matrix,0.8882403497375118,50
6BHU-filtered_combined_matrix,0.3981434455624609,50
6KUW-filtered_combined_matrix,0.4051289342809807,50
6LPK-filtered_combined_matrix,0.7452412080002108,50
6M3Z-filtered_combined_matrix,0.7279985790310123,50
6PS1-filtered_combined_matrix,0.5734597018626831,50
6PS2-filtered_combined_matrix,0.5645008719074316,50
6PS3-filtered_combined_matrix,0.5937858381997884,50
6PS6-filtered_combined_matrix,0.6494348530128704,50
6PT0-filtered_combined_matrix,0.8606526382545387,50
6RZ9-filtered_combined_matrix,0.9064830256194227,50
6WBG-filtered_combined_matrix,0.8456343197819101,50
6WGT-filtered_combined_matrix,0.7221328222483795,50
6WIV-filtered_combined_matrix,0.7756809313778013,50
6WM2-filtered_combined_matrix,0.8349946360519835,50
6WQA-filtered_combined_matrix,0.5335940310997085,50
6XBK-filtered_combined_matrix,0.21183678874074888,50
7CKY-filtered_combined_matrix,0.8396368836175568,50
7CKZ-filtered_combined_matrix,0.8440619858960023,50
7CU3-filtered_combined_matrix,0.8964662696337469,50
7CZ5-filtered_combined_matrix,0.898470717394262,50
7D8X-filtered_combined_matrix,0.8156672516313722,50
7DF8-filtered_combined_matrix,0.8447838369778301,50
7DRT-filtered_combined_matrix,0.6656266353918117,50
7DTY-filtered_combined_matrix,0.910904218531548,50
7E14-filtered_combined_matrix,0.8657873819070905,50
7E2Y-filtered_combined_matrix,0.8833985350517353,50
7EJX-filtered_combined_matrix,0.698808269774839,50
7EUO-filtered_combined_matrix,0.9279966307062805,50
7F61-filtered_combined_matrix,0.529140297022575,50
7FEE-filtered_combined_matrix,0.9379248667547277,50
7FIN-filtered_combined_matrix,0.6983635538389875,50
7FJE-filtered_combined_matrix,0.4446950055688212,50
7KY7-filtered_combined_matrix,0.5956235738860707,50
7M95-filtered_combined_matrix,0.935983678798347,50
7N4U-filtered_combined_matrix,0.9060877362681988,50
7SMR-filtered_combined_matrix,0.8411088226230783,50
7TBW-filtered_combined_matrix,0.840985153391152,50
7TJ9-filtered_combined_matrix,0.44897534873718953,50
7UZ3-filtered_combined_matrix,0.7915262089244356,50
7VGZ-filtered_combined_matrix,0.930001818304694,50
7VV4-filtered_combined_matrix,0.8505621417597373,50
7VV6-filtered_combined_matrix,0.7549104985732833,50
7WC6-filtered_combined_matrix,0.7887130922397465,50
7WC7-filtered_combined_matrix,0.8002200310499861,50
7WLD-filtered_combined_matrix,0.5705462598955608,50
7WQ4-filtered_combined_matrix,0.7251046217657736,50
7WU4-filtered_combined_matrix,0.8806313531971881,50
7WU5-filtered_combined_matrix,0.825791473161869,50
7WYX-filtered_combined_matrix,0.7459245063781179,50
7WZ0-filtered_combined_matrix,0.7824967972150138,50
7X2D-filtered_combined_matrix,0.6621943055192919,50
7XBX-filtered_combined_matrix,0.5926222030865945,50
7XW6-filtered_combined_matrix,0.4551283416776982,50
7Y5X-filtered_combined_matrix,0.8429499329077421,50
7Y5Z-filtered_combined_matrix,0.8635096595949346,50
7YAE-filtered_combined_matrix,0.4919156323956758,50
8BHT-filtered_combined_matrix,0.7968216956733961,50
8BI0-filtered_combined_matrix,0.8638759678809591,50
8BJF-filtered_combined_matrix,0.44317050878164926,50
8C9W-filtered_combined_matrix,0.10739545957175203,50
8CIC-filtered_combined_matrix,0.46195747957832606,50
8CRR-filtered_combined_matrix,0.5123236823397089,50
8E0G-filtered_combined_matrix,0.6327224681879221,50
8EIQ-filtered_combined_matrix,0.9301971380811163,50
8EOG-filtered_combined_matrix,0.8619472758431445,50
8FHS-filtered_combined_matrix,0.7019753056056922,50
8GI8-filtered_combined_matrix,0.7401255238702559,50
8HA0-filtered_combined_matrix,0.8876011149793345,50
8HDO-filtered_combined_matrix,0.8222638963964201,50
8IRR-filtered_combined_matrix,0.2165419394335038,50
8IRV-filtered_combined_matrix,0.41249174736217065,50
8J6M-filtered_combined_matrix,0.8365798382968949,50
8J6Q-filtered_combined_matrix,0.7793036869414174,50
8JD0-filtered_combined_matrix,0.8739001242181189,50
8JEZ-filtered_combined_matrix,0.24162584813971677,50
8JF1-filtered_combined_matrix,0.4062976528896284,50
8JIM-filtered_combined_matrix,0.9280336231206172,50
8JT8-filtered_combined_matrix,0.9283286493294276,50
8K69-filtered_combined_matrix,0.3647256042301798,50
8KCT-filtered_combined_matrix,0.8513083426635657,50
8KH4-filtered_combined_matrix,0.44274850736899307,50
8KH5-filtered_combined_matrix,0.4556203824327663,50
