protein_id,average_score,number_atoms,min_max_label,percentile_label,threshold_label
1LRI-f4,0.41088672078261146,45,PseudoNegative,StrongNegative,Negative
1N83-f4,0.042863523879088414,54,PseudoNegative,StrongNegative,Negative
2RH1-f2,0.9989280686378479,34,PseudoPositive,PseudoPositive,Positive
2RH1-f3,0.9993923604488373,21,PseudoPositive,StrongPositive,Positive
2ZXE-f1,0.21562237696163353,72,PseudoNegative,StrongNegative,Negative
3A3Y-f1,0.977426525592804,55,PseudoPositive,PseudoNegative,Positive
3GKI-f2,1.9077359683421946e-05,103,StrongNegative,StrongNegative,Negative
3GKI-f3,0.10851080081122924,61,PseudoNegative,StrongNegative,Negative
3GKI-f5,0.01052051803236824,67,StrongNegative,StrongNegative,Negative
3N9Y-f1,0.00024217733966312623,108,StrongNegative,StrongNegative,Negative
3N9Y-f4,0.00043097477927216,72,StrongNegative,StrongNegative,Negative
3N9Y-f5,0.24563531606690953,59,PseudoNegative,StrongNegative,Negative
3NY9-f3,0.00023569926608428,98,StrongNegative,StrongNegative,Negative
3NYA-f1,0.00211023078774084,68,StrongNegative,StrongNegative,Negative
3WGU-f1,0.9946710817813873,46,PseudoPositive,PseudoNegative,Positive
3WGU-f2,0.9832177078723907,44,PseudoPositive,PseudoNegative,Positive
3WGU-f3,0.999010941505432,46,PseudoPositive,PseudoPositive,Positive
3WGU-f5,0.000348285770651237,71,StrongNegative,StrongNegative,Negative
3WGV-f1,0.7907352218031883,54,PseudoNegative,StrongNegative,Positive
3WGV-f3,0.151336640473688,72,PseudoNegative,StrongNegative,Negative
3WGV-f4,0.00025342679416210073,65,StrongNegative,StrongNegative,Negative
4BQU-f4,0.0456262974189594,67,PseudoNegative,StrongNegative,Negative
4BQU-f5,0.07114251326955849,58,PseudoNegative,StrongNegative,Negative
4DKL-f2,0.0003193037887103421,90,StrongNegative,StrongNegative,Negative
4DKL-f3,0.00204371144529428,75,StrongNegative,StrongNegative,Negative
4HYT-f3,0.1402625755858316,73,PseudoNegative,StrongNegative,Negative
4IB4-f3,0.00027031994019121626,74,StrongNegative,StrongNegative,Negative
4M48-f4,0.997848058462143,27,PseudoPositive,PseudoPositive,Positive
4NTJ-f4,0.9795181472301484,27,PseudoPositive,PseudoNegative,Positive
4NTJ-f5,0.01213565054954956,74,StrongNegative,StrongNegative,Negative
4OR2-f1,0.00023663632675466795,81,StrongNegative,StrongNegative,Negative
4OR2-f4,0.00063899434352054,81,StrongNegative,StrongNegative,Negative
4PXZ-f1,0.9994710774421692,22,PseudoPositive,StrongPositive,Positive
4PXZ-f2,0.01087863765435754,77,StrongNegative,StrongNegative,Negative
4RES-f5,4.7668583565837246e-05,98,StrongNegative,StrongNegative,Negative
4XNU-f1,0.4187944242954254,47,PseudoNegative,StrongNegative,Negative
4XNU-f4,1.6237885481132252e-05,99,StrongNegative,StrongNegative,Negative
4XNU-f5,0.00027954382782078,70,StrongNegative,StrongNegative,Negative
4XP1-f1,0.10349815543834115,48,PseudoNegative,StrongNegative,Negative
4XP4-f1,0.39425883275642987,46,PseudoNegative,StrongNegative,Negative
4XP5-f1,0.04878565888592852,52,PseudoNegative,StrongNegative,Negative
4XP5-f3,0.0034836432492883805,72,StrongNegative,StrongNegative,Negative
4XP5-f4,0.9923556172847748,32,PseudoPositive,PseudoNegative,Positive
4XP9-f1,0.4072376669645309,47,PseudoNegative,StrongNegative,Negative
4XPA-f1,0.8046539387702942,42,PseudoNegative,StrongNegative,Positive
4XPA-f3,0.00284336435032306,66,StrongNegative,StrongNegative,Negative
4XPA-f5,0.0244441536699887,69,PseudoNegative,StrongNegative,Negative
4XPB-f1,0.6579076005518436,43,PseudoNegative,StrongNegative,Positive
4XPF-f1,0.80285240650177,34,PseudoNegative,StrongNegative,Positive
4XPG-f1,0.8283488260507583,42,PseudoNegative,StrongNegative,Positive
4XPH-f1,0.3392786877453327,46,PseudoNegative,StrongNegative,Negative
4XPT-f2,0.7828311732709408,40,PseudoNegative,StrongNegative,Positive
5AVQ-f1,0.10896267498098308,72,PseudoNegative,StrongNegative,Negative
5AVR-f3,0.2000336152759846,67,PseudoNegative,StrongNegative,Negative
5AVR-f5,0.9464287850856781,56,PseudoPositive,StrongNegative,Positive
5AVS-f2,0.9971462528705597,43,PseudoPositive,PseudoNegative,Positive
5AVT-f2,0.6448304955661297,59,PseudoNegative,StrongNegative,Positive
5AVT-f5,0.9988774156570435,38,PseudoPositive,PseudoPositive,Positive
5AVU-f1,0.9963091666698457,56,PseudoPositive,PseudoNegative,Positive
5AVV-f1,0.9915136570930481,59,PseudoPositive,PseudoNegative,Positive
5AVV-f4,0.9943472983837127,50,PseudoPositive,PseudoNegative,Positive
5AVW-f1,0.9257694149017335,54,PseudoPositive,StrongNegative,Positive
5AVW-f5,0.9622756752967835,59,PseudoPositive,PseudoNegative,Positive
5AVX-f1,0.9298720734119416,62,PseudoPositive,StrongNegative,Positive
5AVY-f1,0.9932716257572174,61,PseudoPositive,PseudoNegative,Positive
5AVY-f2,0.9828931944370269,49,PseudoPositive,PseudoNegative,Positive
5AVZ-f1,0.9912982342243193,50,PseudoPositive,PseudoNegative,Positive
5AVZ-f2,0.9929489829540252,51,PseudoPositive,PseudoNegative,Positive
5AW0-f1,0.20382696463819588,70,PseudoNegative,StrongNegative,Negative
5AW1-f1,0.9937790167331695,53,PseudoPositive,PseudoNegative,Positive
5AW1-f5,0.00026165581616256013,97,StrongNegative,StrongNegative,Negative
