protein_id,average_score,number_atoms,min_max_label,percentile_label,threshold_label
4HQJ-fi,0.9989314424991608,29,PseudoPositive,PseudoPositive,Positive
4RET-fi,0.4458442321419716,55,PseudoNegative,StrongNegative,Negative
5OQT-fi,0.5710360217094421,51,PseudoNegative,StrongNegative,Positive
5SY1-fi,0.9993435561656951,34,PseudoPositive,StrongPositive,Positive
5WB2-fi,0.9987338411808014,38,PseudoPositive,PseudoPositive,Positive
6AWN-fi,0.9990914380550384,22,PseudoPositive,PseudoPositive,Positive
6AWO-fi,0.9992622673511504,21,PseudoPositive,PseudoPositive,Positive
6AWQ-fi,0.9992441260814666,21,PseudoPositive,PseudoPositive,Positive
6JXK-fi,0.9981524097919464,45,PseudoPositive,PseudoNegative,Positive
6L47-fi,0.0655629708245396,95,PseudoNegative,StrongNegative,Negative
6NBH-fi,0.999217975139618,23,PseudoPositive,PseudoPositive,Positive
6QEX-fi,0.9993779623508452,25,PseudoPositive,StrongPositive,Positive
6V35-fi,0.998380218744278,36,PseudoPositive,PseudoNegative,Positive
6VUM-fi,0.9994220530986786,19,PseudoPositive,StrongPositive,Positive
6W5V-fi,0.9968188655376434,65,PseudoPositive,PseudoNegative,Positive
7A65-fi,0.999233603477478,30,PseudoPositive,PseudoPositive,Positive
7A6C-fi,0.99951810836792,22,PseudoPositive,StrongPositive,Positive
7A6E-fi,0.9993132615089416,30,PseudoPositive,StrongPositive,Positive
7A6F-fi,0.9994139254093172,24,PseudoPositive,StrongPositive,Positive
7CA3-fi,0.9990237057209016,20,PseudoPositive,PseudoPositive,Positive
7CUM-fi,0.983920933008194,30,PseudoPositive,PseudoNegative,Positive
7D92-fi,0.9983436942100524,36,PseudoPositive,PseudoNegative,Positive
7D93-fi,0.9079466664791108,58,PseudoNegative,StrongNegative,Positive
7D94-fi,0.5279162287712097,55,PseudoNegative,StrongNegative,Positive
7DDF-fi,0.9148034405708312,59,PseudoPositive,StrongNegative,Positive
7DDI-fi,0.8195893150568009,56,PseudoNegative,StrongNegative,Positive
7DDK-fi,0.5771094071865082,58,PseudoNegative,StrongNegative,Positive
7KY5-fi,0.9995000457763672,5,PseudoPositive,StrongPositive,Positive
7KY8-fi,0.989447387456894,52,PseudoPositive,PseudoNegative,Positive
7KYA-fi,0.9995183181762696,18,PseudoPositive,StrongPositive,Positive
7N4V-fi,0.9994756877422332,29,PseudoPositive,StrongPositive,Positive
7NIW-fi,0.9993981993198396,31,PseudoPositive,StrongPositive,Positive
7QTV-fi,0.7022753494977951,56,PseudoNegative,StrongNegative,Positive
7RM5-fi,0.9970581662654876,41,PseudoPositive,PseudoNegative,Positive
7RR9-fi,0.998111847639084,34,PseudoPositive,PseudoNegative,Positive
7SK3-fi,0.8178798478841781,54,PseudoNegative,StrongNegative,Positive
7WYS-fi,0.5989342328906059,57,PseudoNegative,StrongNegative,Positive
7WYY-fi,0.9990112686157226,45,PseudoPositive,PseudoPositive,Positive
7Y46-fi,0.981010912656784,50,PseudoPositive,PseudoNegative,Positive
8DPG-fi,1.847474888876377e-05,90,StrongNegative,StrongNegative,Negative
8JD1-fi,0.999500252008438,34,PseudoPositive,StrongPositive,Positive
8JD5-fi,0.9994185960292816,46,PseudoPositive,StrongPositive,Positive
8KDF-fi,0.9988970148563384,40,PseudoPositive,PseudoPositive,Positive
8KDH-fi,0.9881559336185456,55,PseudoPositive,PseudoNegative,Positive
8SRH-fi,0.8136913692951202,77,PseudoNegative,StrongNegative,Positive
8SRK-fi,0.9948983466625214,60,PseudoPositive,PseudoNegative,Positive
8SZG-fi,0.999309629201889,24,PseudoPositive,StrongPositive,Positive
8SZI-fi,0.9993696856498718,24,PseudoPositive,StrongPositive,Positive
8V81-fi,0.9987081706523896,25,PseudoPositive,PseudoPositive,Positive
9AXF-fi,0.9990490877628326,22,PseudoPositive,PseudoPositive,Positive
9B36-fi,0.9992544317245484,33,PseudoPositive,PseudoPositive,Positive
9B37-fi,0.9962887072563172,35,PseudoPositive,PseudoNegative,Positive
9C3E-fi,0.9983850252628328,55,PseudoPositive,PseudoNegative,Positive
9DMG-fi,0.3604366692900658,52,PseudoNegative,StrongNegative,Negative
9DMT-fi,0.1555999601073563,54,PseudoNegative,StrongNegative,Negative
9DXS-fi,0.998165920972824,36,PseudoPositive,PseudoNegative,Positive
9II3-fi,0.9995387375354768,26,PseudoPositive,StrongPositive,Positive
