protein_id,average_score,number_atoms,min_max_label,percentile_label,threshold_label
4EIY-fi,0.9323640558719635,42,PseudoPositive,StrongNegative,Positive
4NTJ-fi,0.9991331841945648,32,PseudoPositive,PseudoPositive,Positive
4RES-fi,0.8814918501377106,59,PseudoNegative,StrongNegative,Positive
4XP1-fi,0.9991270279884338,39,PseudoPositive,PseudoPositive,Positive
4XP4-fi,0.998656768798828,39,PseudoPositive,PseudoPositive,Positive
4XPG-fi,0.9982826228141786,47,PseudoPositive,PseudoPositive,Positive
5AVW-fi,0.9987512452602386,42,PseudoPositive,PseudoPositive,Positive
5AW3-fi,0.9985765924453736,44,PseudoPositive,PseudoPositive,Positive
5AW4-fi,0.9979428038597107,41,PseudoPositive,PseudoPositive,Positive
5AW6-fi,0.9986451795101166,41,PseudoPositive,PseudoPositive,Positive
5AW9-fi,0.9979293899536132,43,PseudoPositive,PseudoPositive,Positive
5C1M-fi,0.97435311794281,52,PseudoPositive,PseudoNegative,Positive
5D5A-fi,0.9911260385513305,56,PseudoPositive,PseudoNegative,Positive
5D6L-fi,0.9974877326488494,54,PseudoPositive,PseudoPositive,Positive
5I73-fi,0.9993304085731506,20,PseudoPositive,StrongPositive,Positive
5IU8-fi,0.9132036054134369,45,PseudoPositive,StrongNegative,Positive
5OLV-fi,0.9173315389156341,43,PseudoPositive,StrongNegative,Positive
5UPH-fi,7.530449654789915e-05,120,StrongNegative,StrongNegative,Negative
5VRA-fi,0.976265202999115,42,PseudoPositive,PseudoNegative,Positive
6DRY-fi,0.9988361022472383,43,PseudoPositive,PseudoPositive,Positive
6IYC-fi,0.9991409120559691,32,PseudoPositive,PseudoPositive,Positive
6KUW-fi,0.9937640936374665,58,PseudoPositive,PseudoNegative,Positive
6LW5-fi,0.99734157705307,31,PseudoPositive,PseudoNegative,Positive
6M0Z-fi,0.999090000629425,37,PseudoPositive,PseudoPositive,Positive
6M3Z-fi,0.9991434221267701,39,PseudoPositive,PseudoPositive,Positive
6N4B-fi,0.9964107134342195,29,PseudoPositive,PseudoNegative,Positive
6OMM-fi,0.9993104619979858,27,PseudoPositive,StrongPositive,Positive
6PB1-fi,0.9993100638389587,33,PseudoPositive,StrongPositive,Positive
6PS5-fi,0.9689165909290314,56,PseudoPositive,PseudoNegative,Positive
6PT0-fi,0.9992965779304506,34,PseudoPositive,StrongPositive,Positive
6RZ7-fi,0.9992858059406281,28,PseudoPositive,StrongPositive,Positive
