protein_id,average_score,number_atoms,min_max_label,percentile_label,threshold_label
1ZHY-f5,0.0001931647696049331,79,PseudoNegative,StrongNegative,Negative
2RH1-f2,0.998996869802475,34,PseudoPositive,PseudoPositive,Positive
2RH1-f3,0.9994428336620331,21,PseudoPositive,StrongPositive,Positive
2RH1-f5,0.005562454550713259,68,PseudoNegative,StrongNegative,Negative
2ZXE-f1,0.15887042064341217,72,PseudoNegative,StrongNegative,Negative
3A3Y-f1,0.9829657158851622,55,PseudoPositive,PseudoNegative,Positive
3D4S-f3,0.00745122402745566,84,PseudoNegative,StrongNegative,Negative
3GKI-f3,0.16102179365053595,61,PseudoNegative,StrongNegative,Negative
3N9Y-f4,0.00058999021962138,72,PseudoNegative,StrongNegative,Negative
3NY8-f3,0.00099612986867916,75,PseudoNegative,StrongNegative,Negative
3NYA-f5,0.0002065921437192468,95,PseudoNegative,StrongNegative,Negative
3WGU-f1,0.9908260626792907,46,PseudoPositive,PseudoNegative,Positive
3WGU-f2,0.9763454934358597,44,PseudoPositive,PseudoNegative,Positive
3WGU-f3,0.9992519860267638,46,PseudoPositive,PseudoPositive,Positive
3WGU-f5,0.00052413510503008,71,PseudoNegative,StrongNegative,Negative
3WGV-f1,0.6487161644697189,54,PseudoNegative,StrongNegative,Positive
3WGV-f4,0.00016131595664639438,65,PseudoNegative,StrongNegative,Negative
4BOE-f1,0.18838352416921403,66,PseudoNegative,StrongNegative,Negative
4BQU-f2,0.0017255982321562001,68,PseudoNegative,StrongNegative,Negative
4HYT-f2,0.00179345127749998,74,PseudoNegative,StrongNegative,Negative
4HYT-f3,0.12190424753783731,73,PseudoNegative,StrongNegative,Negative
4M48-f3,5.726506073854409e-05,87,StrongNegative,StrongNegative,Negative
4M48-f4,0.9978132400512696,27,PseudoPositive,PseudoPositive,Positive
4NC3-f4,1.8437793538111702e-05,85,StrongNegative,StrongNegative,Negative
4NTJ-f3,0.00733611393143834,55,PseudoNegative,StrongNegative,Negative
4NTJ-f4,0.9689836065769196,27,PseudoPositive,PseudoNegative,Positive
4NTJ-f5,0.00488404063243066,74,PseudoNegative,StrongNegative,Negative
4OR2-f4,0.00030186801431513995,81,PseudoNegative,StrongNegative,Negative
4PXZ-f1,0.9995314941406249,22,PseudoPositive,StrongPositive,Positive
4XNU-f1,0.28809269224293527,47,PseudoNegative,StrongNegative,Negative
4XNU-f2,0.6398293896783144,51,PseudoNegative,StrongNegative,Positive
4XNV-f1,0.0009465699590254599,84,PseudoNegative,StrongNegative,Negative
4XNV-f3,0.880196506217122,35,PseudoNegative,StrongNegative,Positive
4XNX-f3,0.00028971050081575366,110,PseudoNegative,StrongNegative,Negative
4XP1-f1,0.05374902098462912,48,PseudoNegative,StrongNegative,Negative
4XP1-f4,0.00917365568487362,76,PseudoNegative,StrongNegative,Negative
4XP4-f1,0.29234458694158816,46,PseudoNegative,StrongNegative,Negative
4XP5-f1,0.02204968835863492,52,PseudoNegative,StrongNegative,Negative
4XP5-f3,0.0015227180822959799,72,PseudoNegative,StrongNegative,Negative
4XP6-f1,0.0005851507178181789,109,PseudoNegative,StrongNegative,Negative
4XP9-f1,0.25402940241340544,47,PseudoNegative,StrongNegative,Negative
4XPA-f1,0.7098019211366773,42,PseudoNegative,StrongNegative,Positive
4XPB-f1,0.451739668068476,43,PseudoNegative,StrongNegative,Negative
4XPF-f1,0.6742354186363518,34,PseudoNegative,StrongNegative,Positive
4XPG-f1,0.7042832416892051,42,PseudoNegative,StrongNegative,Positive
4XPH-f1,0.22092588474915828,46,PseudoNegative,StrongNegative,Negative
4XPH-f5,1.6536942318704948e-05,80,StrongNegative,StrongNegative,Negative
4XPT-f2,0.7274665277600288,40,PseudoNegative,StrongNegative,Positive
4XT1-f3,9.612877668281919e-05,86,PseudoNegative,StrongNegative,Negative
5AVQ-f1,0.05116405159616984,72,PseudoNegative,StrongNegative,Negative
5AVR-f5,0.9677371490001679,56,PseudoPositive,PseudoNegative,Positive
5AVS-f1,0.000213457482940817,92,PseudoNegative,StrongNegative,Negative
5AVS-f5,0.04833075419959636,75,PseudoNegative,StrongNegative,Negative
5AVT-f2,0.5522647381834686,59,PseudoNegative,StrongNegative,Positive
5AVT-f3,0.03821544787678424,75,PseudoNegative,StrongNegative,Negative
5AVU-f1,0.9959099049568175,56,PseudoPositive,PseudoNegative,Positive
5AVV-f1,0.9908705043792725,59,PseudoPositive,PseudoNegative,Positive
5AVV-f4,0.99541659617424,50,PseudoPositive,PseudoNegative,Positive
5AVW-f1,0.9280917084217071,54,PseudoPositive,StrongNegative,Positive
5AVW-f4,0.011168734830440319,77,PseudoNegative,StrongNegative,Negative
5AVX-f1,0.8724844814538955,62,PseudoNegative,StrongNegative,Positive
5AVX-f4,9.086592759970564e-05,99,PseudoNegative,StrongNegative,Negative
5AVY-f1,0.9853812205791475,61,PseudoPositive,PseudoNegative,Positive
5AVY-f2,0.9887849583625792,49,PseudoPositive,PseudoNegative,Positive
5AVY-f5,7.099679876997484e-05,101,PseudoNegative,StrongNegative,Negative
5AVZ-f1,0.9921415264606475,50,PseudoPositive,PseudoNegative,Positive
5AVZ-f2,0.995085622549057,51,PseudoPositive,PseudoNegative,Positive
5AW0-f1,0.10218202293630747,70,PseudoNegative,StrongNegative,Negative
5AW1-f1,0.9909782457351686,53,PseudoPositive,PseudoNegative,Positive
5AW2-f1,0.9836869223117828,59,PseudoPositive,PseudoNegative,Positive
5AW2-f2,0.9928410499095917,50,PseudoPositive,PseudoNegative,Positive
5AW3-f1,0.9908443593978882,54,PseudoPositive,PseudoNegative,Positive
5AW4-f1,0.9916245248317719,50,PseudoPositive,PseudoNegative,Positive
5AW5-f1,0.04762994064783558,69,PseudoNegative,StrongNegative,Negative
5AW7-f1,0.9260748886168002,56,PseudoPositive,StrongNegative,Positive
5AW7-f2,0.9916494274139405,59,PseudoPositive,PseudoNegative,Positive
