protein_id,average_score,number_atoms,min_max_label,percentile_label,threshold_label
1N83-fi,0.8024639953374862,75,PseudoNegative,StrongNegative,Positive
3D4S-fi,0.970804821252823,52,PseudoPositive,StrongNegative,Positive
3WGV-fi,0.9334469331502915,52,PseudoPositive,StrongNegative,Positive
4M48-fi,0.999280781507492,40,PseudoPositive,PseudoPositive,Positive
4RES-fi,0.6270603969097137,59,PseudoNegative,StrongNegative,Positive
4XNV-fi,0.9977461547851563,39,PseudoPositive,PseudoNegative,Positive
4XNX-fi,0.9991334147453308,45,PseudoPositive,PseudoPositive,Positive
4XP4-fi,0.9990643162727355,39,PseudoPositive,PseudoPositive,Positive
4XPF-fi,0.9991646873950959,44,PseudoPositive,PseudoPositive,Positive
4XPH-fi,0.9994083046913147,43,PseudoPositive,StrongPositive,Positive
4XPT-fi,0.9995483810901641,35,PseudoPositive,StrongPositive,Positive
5AVX-fi,0.9981843013763427,44,PseudoPositive,PseudoNegative,Positive
5AW3-fi,0.9985956449508666,44,PseudoPositive,PseudoPositive,Positive
5AW5-fi,0.9990032651424408,41,PseudoPositive,PseudoPositive,Positive
5AW8-fi,0.9987381739616394,41,PseudoPositive,PseudoPositive,Positive
5D6L-fi,0.9976724355220794,54,PseudoPositive,PseudoNegative,Positive
5MZP-fi,0.9810186448097229,44,PseudoPositive,StrongNegative,Positive
5OLV-fi,0.9161202311515808,43,PseudoNegative,StrongNegative,Positive
5UVI-fi,0.991748138666153,38,PseudoPositive,PseudoNegative,Positive
5X7D-fi,0.9939687819480897,59,PseudoPositive,PseudoNegative,Positive
5XR8-fi,0.911204374551773,53,PseudoNegative,StrongNegative,Positive
6A15-fi,0.9016862251758575,76,PseudoNegative,StrongNegative,Positive
6AQF-fi,0.9550505752563477,47,PseudoPositive,StrongNegative,Positive
6IYC-fi,0.9992755184173584,32,PseudoPositive,PseudoPositive,Positive
6LFO-fi,0.9994628658294678,31,PseudoPositive,StrongPositive,Positive
6LPJ-fi,0.9899188323020935,39,PseudoPositive,PseudoNegative,Positive
6LPK-fi,0.9940217816829682,38,PseudoPositive,PseudoNegative,Positive
6LQG-fi,0.9995104806423187,26,PseudoPositive,StrongPositive,Positive
6MSM-fi,0.9992366693019867,21,PseudoPositive,PseudoPositive,Positive
6NBF-fi,0.9993018527030945,29,PseudoPositive,PseudoPositive,Positive
6NF4-fi,0.9963297600746156,50,PseudoPositive,PseudoNegative,Positive
6PS4-fi,0.9969935956001281,50,PseudoPositive,PseudoNegative,Positive
6PT0-fi,0.9994316582679748,34,PseudoPositive,StrongPositive,Positive
6RZ6-fi,0.999415545463562,26,PseudoPositive,StrongPositive,Positive
