protein_id,average_score,number_atoms,min_max_label,percentile_label,threshold_label
4HQJ-fi,0.9990295350551606,29,PseudoPositive,PseudoPositive,Positive
4RET-fi,0.5579561764001846,55,PseudoNegative,StrongNegative,Positive
5OQT-fi,0.752232341170311,51,PseudoNegative,StrongNegative,Positive
5SY1-fi,0.999381786584854,34,PseudoPositive,StrongPositive,Positive
5WB2-fi,0.9987054133415222,38,PseudoPositive,PseudoPositive,Positive
6AWN-fi,0.9990690803527832,22,PseudoPositive,PseudoPositive,Positive
6AWO-fi,0.999262546300888,21,PseudoPositive,PseudoPositive,Positive
6AWQ-fi,0.9992347145080568,21,PseudoPositive,PseudoPositive,Positive
6JXK-fi,0.9984664726257324,45,PseudoPositive,PseudoPositive,Positive
6L47-fi,0.0167717698030173,95,PseudoNegative,StrongNegative,Negative
6NBH-fi,0.9992977607250214,23,PseudoPositive,StrongPositive,Positive
6QEX-fi,0.9993837440013884,25,PseudoPositive,StrongPositive,Positive
6V35-fi,0.9986398160457612,36,PseudoPositive,PseudoPositive,Positive
6VUM-fi,0.9994158804416656,19,PseudoPositive,StrongPositive,Positive
6W5V-fi,0.9973910856246948,65,PseudoPositive,PseudoNegative,Positive
7A65-fi,0.9993049561977386,30,PseudoPositive,StrongPositive,Positive
7A6C-fi,0.9995128667354584,22,PseudoPositive,StrongPositive,Positive
7A6E-fi,0.9993682706356048,30,PseudoPositive,StrongPositive,Positive
7A6F-fi,0.999419971704483,24,PseudoPositive,StrongPositive,Positive
7CA3-fi,0.9989725363254548,20,PseudoPositive,PseudoPositive,Positive
7CUM-fi,0.9917870080471038,30,PseudoPositive,PseudoNegative,Positive
7D92-fi,0.9980989575386048,36,PseudoPositive,PseudoPositive,Positive
7D93-fi,0.9561062324047088,58,PseudoPositive,PseudoNegative,Positive
7D94-fi,0.7927547955513,55,PseudoNegative,StrongNegative,Positive
7DDF-fi,0.9607629954814912,59,PseudoPositive,PseudoNegative,Positive
7DDI-fi,0.9155669009685516,56,PseudoPositive,StrongNegative,Positive
7DDK-fi,0.7011412936449051,58,PseudoNegative,StrongNegative,Positive
7KY5-fi,0.999474685192108,5,PseudoPositive,StrongPositive,Positive
7KY8-fi,0.9816235971450804,52,PseudoPositive,PseudoNegative,Positive
7KYA-fi,0.9995093297958374,18,PseudoPositive,StrongPositive,Positive
7N4V-fi,0.9994668900966645,29,PseudoPositive,StrongPositive,Positive
7NIW-fi,0.999380247592926,31,PseudoPositive,StrongPositive,Positive
7QTV-fi,0.8865840339660644,56,PseudoNegative,StrongNegative,Positive
7RM5-fi,0.9958349275588988,41,PseudoPositive,PseudoNegative,Positive
7RR9-fi,0.998232102394104,34,PseudoPositive,PseudoPositive,Positive
7SK3-fi,0.8242202037572861,54,PseudoNegative,StrongNegative,Positive
7WYS-fi,0.825940135717392,57,PseudoNegative,StrongNegative,Positive
7WYY-fi,0.999143956899643,45,PseudoPositive,PseudoPositive,Positive
7Y46-fi,0.9887758815288544,50,PseudoPositive,PseudoNegative,Positive
8DPG-fi,1.0362609846481518e-05,90,StrongNegative,StrongNegative,Negative
8JD1-fi,0.9994788587093352,34,PseudoPositive,StrongPositive,Positive
8JD5-fi,0.9994722855091096,46,PseudoPositive,StrongPositive,Positive
8KDF-fi,0.9988065004348756,40,PseudoPositive,PseudoPositive,Positive
8KDH-fi,0.9866743981838226,55,PseudoPositive,PseudoNegative,Positive
8SRH-fi,0.6322159153223038,77,PseudoNegative,StrongNegative,Positive
8SRK-fi,0.9886244058609008,60,PseudoPositive,PseudoNegative,Positive
8SZG-fi,0.9992931652069093,24,PseudoPositive,StrongPositive,Positive
8SZI-fi,0.9993537890911104,24,PseudoPositive,StrongPositive,Positive
8V81-fi,0.9986667716503144,25,PseudoPositive,PseudoPositive,Positive
9AXF-fi,0.9991204249858856,22,PseudoPositive,PseudoPositive,Positive
9B36-fi,0.9992490482330322,33,PseudoPositive,PseudoPositive,Positive
9B37-fi,0.9946750569343566,35,PseudoPositive,PseudoNegative,Positive
9C3E-fi,0.9986090743541718,55,PseudoPositive,PseudoPositive,Positive
9DMG-fi,0.4445490504801273,52,PseudoNegative,StrongNegative,Negative
9DMT-fi,0.1661661912687123,54,PseudoNegative,StrongNegative,Negative
9DXS-fi,0.9977029168605804,36,PseudoPositive,PseudoPositive,Positive
9II3-fi,0.999529572725296,26,PseudoPositive,StrongPositive,Positive
