residue,count_in_topK,percent_of_topK,topk_atoms_total,K_per_sample
ALA,16,2.0779220779220777,770,5
ARG,77,10.0,770,5
ASN,5,0.6493506493506493,770,5
ASP,3,0.38961038961038963,770,5
CYS,31,4.025974025974026,770,5
GLN,17,2.207792207792208,770,5
GLU,25,3.2467532467532463,770,5
GLY,21,2.727272727272727,770,5
HIS,12,1.5584415584415585,770,5
ILE,87,11.298701298701298,770,5
LEU,138,17.92207792207792,770,5
LYS,19,2.4675324675324677,770,5
MET,85,11.03896103896104,770,5
PHE,55,7.142857142857142,770,5
PRO,28,3.6363636363636362,770,5
SER,28,3.6363636363636362,770,5
THR,20,2.5974025974025974,770,5
TRP,15,1.948051948051948,770,5
TYR,50,6.493506493506493,770,5
VAL,38,4.935064935064935,770,5
