atom_type,mean_percent,std_percent,exp1_percent,exp2_percent,exp3_percent,exp4_percent,exp5_percent
C,8.07017543859649,2.4686398735912785,7.017543859649122,7.017543859649122,12.280701754385964,8.070175438596491,5.964912280701754
CA,9.192982456140351,1.174259686363615,9.824561403508772,9.12280701754386,10.526315789473683,9.12280701754386,7.368421052631578
CB,11.017543859649122,1.1794902676471306,12.280701754385964,9.12280701754386,11.578947368421053,10.87719298245614,11.228070175438596
CD,2.807017543859649,1.5091798714109872,4.912280701754386,1.7543859649122806,1.4035087719298245,2.1052631578947367,3.8596491228070176
CD1,5.543859649122807,1.0928008071857853,4.912280701754386,6.666666666666667,4.2105263157894735,5.263157894736842,6.666666666666667
CD2,5.5438596491228065,2.547184759702672,3.8596491228070176,5.964912280701754,2.807017543859649,5.614035087719298,9.473684210526317
CE,1.6140350877192984,0.19218335351058458,1.7543859649122806,1.4035087719298245,1.7543859649122806,1.4035087719298245,1.7543859649122806
CE1,3.4385964912280698,1.7959977392378565,2.807017543859649,3.1578947368421053,1.4035087719298245,3.508771929824561,6.315789473684211
CE2,4.421052631578947,1.8665875197572475,4.2105263157894735,2.807017543859649,2.456140350877193,6.666666666666667,5.964912280701754
CE3,1.0526315789473686,1.0526315789473684,0.7017543859649122,2.807017543859649,0.0,1.0526315789473684,0.7017543859649122
CG,7.0175438596491215,1.0526315789473684,7.368421052631578,5.263157894736842,7.017543859649122,8.070175438596491,7.368421052631578
CG1,2.3859649122807016,0.4574878880843964,2.456140350877193,2.807017543859649,2.1052631578947367,1.7543859649122806,2.807017543859649
CG2,5.824561403508772,1.1260916867285058,5.964912280701754,6.315789473684211,7.368421052631578,4.912280701754386,4.56140350877193
CH2,1.7543859649122804,1.1637279966159297,1.4035087719298245,3.508771929824561,2.1052631578947367,0.3508771929824561,1.4035087719298245
CZ,4.912280701754386,1.1898824531798715,6.315789473684211,3.8596491228070176,3.508771929824561,5.614035087719298,5.263157894736842
CZ2,0.9824561403508772,0.8377078165833911,0.0,2.1052631578947367,1.0526315789473684,1.4035087719298245,0.3508771929824561
CZ3,1.894736842105263,0.8077799602260588,1.4035087719298245,3.1578947368421053,2.1052631578947367,1.0526315789473684,1.7543859649122806
O,10.947368421052632,2.7783625115549686,11.228070175438596,10.175438596491228,14.736842105263156,11.578947368421053,7.017543859649122
OH,0.3508771929824561,0.3508771929824561,0.0,0.0,0.3508771929824561,0.7017543859649122,0.7017543859649122
OD1,0.14035087719298245,0.1921833535105846,0.0,0.3508771929824561,0.0,0.3508771929824561,0.0
OD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OE1,0.9824561403508772,0.1569170510526168,1.0526315789473684,1.0526315789473684,1.0526315789473684,0.7017543859649122,1.0526315789473684
OE2,0.2807017543859649,0.1569170510526168,0.0,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561
OG,0.2807017543859649,0.4574878880843964,0.0,1.0526315789473684,0.0,0.3508771929824561,0.0
OG1,0.5614035087719298,0.31383410210523366,0.7017543859649122,0.7017543859649122,0.7017543859649122,0.7017543859649122,0.0
N,4.56140350877193,0.554785554415505,4.2105263157894735,5.263157894736842,4.912280701754386,4.56140350877193,3.8596491228070176
NE,0.7719298245614035,0.5765500605317537,1.7543859649122806,0.7017543859649122,0.3508771929824561,0.3508771929824561,0.7017543859649122
NE1,0.3508771929824561,0.0,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561
NE2,0.21052631578947367,0.1921833535105846,0.0,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.0
ND1,0.3508771929824561,0.0,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561
ND2,0.07017543859649122,0.1569170510526168,0.0,0.3508771929824561,0.0,0.0,0.0
NZ,0.9122807017543859,0.1921833535105846,1.0526315789473684,0.7017543859649122,1.0526315789473684,1.0526315789473684,0.7017543859649122
NH1,0.14035087719298245,0.1921833535105846,0.3508771929824561,0.3508771929824561,0.0,0.0,0.0
NH2,0.5614035087719298,0.1921833535105846,0.7017543859649122,0.3508771929824561,0.7017543859649122,0.3508771929824561,0.7017543859649122
SD,1.0526315789473684,0.24810764252159562,1.0526315789473684,0.7017543859649122,1.0526315789473684,1.0526315789473684,1.4035087719298245
SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
