residue,mean_percent,std_percent,exp1_percent,exp2_percent,exp3_percent,exp4_percent,exp5_percent
ALA,2.9473684210526314,1.7648808898188482,2.807017543859649,4.56140350877193,4.912280701754386,1.0526315789473684,1.4035087719298245
ARG,5.473684210526315,1.8164461902518996,8.421052631578947,3.8596491228070176,4.56140350877193,4.56140350877193,5.964912280701754
ASN,0.9122807017543859,0.880694764772711,0.0,1.0526315789473684,0.0,1.7543859649122806,1.7543859649122806
ASP,0.3508771929824561,0.0,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561
CYS,0.7719298245614035,0.4574878880843964,0.3508771929824561,0.7017543859649122,1.4035087719298245,0.3508771929824561,1.0526315789473684
GLN,1.4736842105263157,0.2935649215909037,1.4035087719298245,1.0526315789473684,1.7543859649122806,1.7543859649122806,1.4035087719298245
GLU,3.5789473684210527,0.6276682042104672,3.1578947368421053,4.56140350877193,3.8596491228070176,3.1578947368421053,3.1578947368421053
GLY,3.4385964912280698,0.6749257565498716,3.508771929824561,2.456140350877193,4.2105263157894735,3.1578947368421053,3.8596491228070176
HIS,2.175438596491228,0.1569170510526169,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.456140350877193,2.1052631578947367
ILE,7.508771929824562,1.6936867910381996,8.070175438596491,9.824561403508772,7.719298245614035,5.263157894736842,6.666666666666667
LEU,11.368421052631579,1.7473543295422784,11.228070175438596,10.87719298245614,8.771929824561402,12.982456140350877,12.982456140350877
LYS,3.578947368421052,1.092800807185785,4.912280701754386,2.456140350877193,3.8596491228070176,4.2105263157894735,2.456140350877193
MET,2.3157894736842106,0.40006155266636423,2.456140350877193,1.7543859649122806,2.1052631578947367,2.456140350877193,2.807017543859649
PHE,15.368421052631579,5.056772182541445,13.684210526315791,12.982456140350877,9.12280701754386,19.649122807017545,21.403508771929825
PRO,7.719298245614034,2.1912273678590872,10.87719298245614,5.964912280701754,9.12280701754386,6.666666666666667,5.964912280701754
SER,1.1929824561403508,1.1794902676471306,0.7017543859649122,3.1578947368421053,0.0,1.0526315789473684,1.0526315789473684
THR,5.5438596491228065,1.1742596863636148,6.315789473684211,5.614035087719298,6.315789473684211,5.964912280701754,3.508771929824561
TRP,7.649122807017545,3.9103527623172023,4.912280701754386,14.385964912280702,7.719298245614035,5.614035087719298,5.614035087719298
TYR,5.684210526315789,1.708163009773766,4.912280701754386,3.1578947368421053,5.964912280701754,7.017543859649122,7.368421052631578
VAL,10.947368421052634,2.9607049978567,9.824561403508772,9.12280701754386,16.140350877192983,10.526315789473683,9.12280701754386
